# listNFWModel[0.0121, 0.4, 1/(2*Pi), 0.00375, "halo_c039_a1021_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  4.05262361e-2  2.51209092e-3  2.47994684e-6  2.58887070e-3  2.48502757e-3
  4.23204858e-2  2.24957651e-3  2.57187413e-6  2.31616360e-3  2.22720356e-3
  4.41941738e-2  2.01318796e-3  2.66558956e-6  2.07079356e-3  1.99470881e-3
  4.61508171e-2  1.80049867e-3  2.76106666e-6  1.85021718e-3  1.78524874e-3
  4.81940883e-2  1.60928517e-3  2.85827773e-6  1.65210008e-3  1.59671068e-3
  5.03278229e-2  1.43751280e-3  2.95719392e-6  1.47430345e-3  1.42715281e-3
  5.25560260e-2  1.28332221e-3  3.05778534e-6  1.31487113e-3  1.27479349e-3
  5.48828800e-2  1.14501642e-3  3.16002117e-6  1.17201704e-3  1.13800068e-3
  5.73127527e-2  1.02104866e-3  3.26386980e-6  1.04411289e-3  1.01528181e-3
  5.98502050e-2  9.10010761e-4  3.36929889e-6  9.29676987e-4  9.05273943e-4
  6.25000000e-2  8.10622344e-4  3.47627550e-6  8.27361252e-4  8.06734326e-4
  6.52671114e-2  7.21720574e-4  3.58476618e-6  7.35944208e-4  7.18531448e-4
  6.81567333e-2  6.42250600e-4  3.69473707e-6  6.54317377e-4  6.39636477e-4
  7.11742897e-2  5.71256596e-4  3.80615400e-6  5.81477659e-4  5.69115185e-4
  7.43254447e-2  5.07873416e-4  3.91898256e-6  5.16518104e-4  5.06120335e-4
  7.76161133e-2  4.51318827e-4  4.03318821e-6  4.58619762e-4  4.49884525e-4
  8.10524722e-2  4.00886293e-4  4.14873633e-6  4.07043778e-4  3.99713493e-4
  8.46409717e-2  3.55938292e-4  4.26559232e-6  3.61124466e-4  3.54979862e-4
  8.83883476e-2  3.15900139e-4  4.38372165e-6  3.20262596e-4  3.15117327e-4
  9.23016341e-2  2.80254284e-4  4.50308996e-6  2.83919299e-4  2.79615251e-4
  9.63881766e-2  2.48535058e-4  4.62366308e-6  2.51610476e-4  2.48013664e-4
  1.00655646e-1  2.20323849e-4  4.74540710e-6  2.22901497e-4  2.19898651e-4
  1.05112052e-1  1.95244672e-4  4.86828845e-6  1.97402742e-4  1.94898088e-4
  1.09765760e-1  1.72960109e-4  4.99227391e-6  1.74764961e-4  1.72677736e-4
  1.14625505e-1  1.53167603e-4  5.11733069e-6  1.54675484e-4  1.52937648e-4
  1.19700410e-1  1.35596063e-4  5.24342643e-6  1.36854583e-4  1.35408877e-4
  1.25000000e-1  1.20002784e-4  5.37052927e-6  1.21052166e-4  1.19850475e-4
  1.30534223e-1  1.06170625e-4  5.49860786e-6  1.07044812e-4  1.06046746e-4
  1.36313467e-1  9.39054637e-5  5.62763141e-6  9.46330477e-5  9.38047466e-5
  1.42348579e-1  8.30338681e-5  5.75756969e-6  8.36389114e-5  8.29520130e-5
  1.48650889e-1  7.34009975e-5  5.88839307e-6  7.39037143e-5  7.33344962e-5
  1.55232227e-1  6.48686973e-5  6.02007253e-6  6.52860557e-5  6.48146887e-5
  1.62104944e-1  5.73137767e-5  6.15257967e-6  5.76599955e-5  5.72699287e-5
  1.69281943e-1  5.06264535e-5  6.28588675e-6  5.09134400e-5  5.05908661e-5
  1.76776695e-1  4.47089511e-5  6.41996665e-6  4.49466633e-5  4.46800771e-5
  1.84603268e-1  3.94742335e-5  6.55479293e-6  3.96709880e-5  3.94508135e-5
  1.92776353e-1  3.48448671e-5  6.69033981e-6  3.50076059e-5  3.48258764e-5
  2.01311291e-1  3.07519967e-5  6.82658215e-6  3.08865070e-5  3.07366019e-5
  2.10224104e-1  2.71344256e-5  6.96349551e-6  2.72455259e-5  2.71219491e-5
  2.19531520e-1  2.39377895e-5  7.10105610e-6  2.40294906e-5  2.39276808e-5
  2.29251011e-1  2.11138163e-5  7.23924078e-6  2.11894521e-5  2.11056280e-5
  2.39400820e-1  1.86196622e-5  7.37802709e-6  1.86820016e-5  1.86130311e-5
  2.50000000e-1  1.64173173e-5  7.51739321e-6  1.64686566e-5  1.64119485e-5
  2.61068446e-1  1.44730745e-5  7.65731797e-6  1.45153190e-5  1.44687286e-5
  2.72626933e-1  1.27570537e-5  7.79778084e-6  1.27919373e-5  1.27535366e-5
  2.84697159e-1  1.12427779e-5  7.93876192e-6  1.12712857e-5  1.12399321e-5
  2.97301779e-1  9.90679378e-6  8.08024194e-6  9.93015839e-6  9.90449163e-6
  3.10464453e-1  8.72833383e-6  8.22220222e-6  8.74743611e-6  8.72647181e-6
  3.24209889e-1  7.68901505e-6  8.36462471e-6  7.70457316e-6  7.68750929e-6
  3.38563887e-1  6.77257037e-6  8.50749193e-6  6.78515621e-6  6.77135292e-6
  3.53553391e-1  5.96460964e-6  8.65078697e-6  5.97465124e-6  5.96362546e-6
  3.69206536e-1  5.25240687e-6  8.79449351e-6  5.26013933e-6  5.25161139e-6
  3.85552706e-1  4.62471103e-6  8.93859575e-6  4.62987158e-6  4.62406817e-6
  4.02622583e-1  4.06870340e-6  9.08307333e-6  4.06473814e-6  4.06814602e-6
  4.20448208e-1  3.43780587e-6  9.22564645e-6  3.43407579e-6  3.43717260e-6
  4.39063040e-1  2.72132452e-6  9.35851210e-6  2.72183869e-6  2.72071217e-6
  4.58502022e-1  2.01232849e-6  9.47439254e-6  2.01651546e-6  2.01180516e-6
  4.78801640e-1  1.38588545e-6  9.56870530e-6  1.39215371e-6  1.38548365e-6
  5.00000000e-1  8.86131323e-7  9.64011869e-6  8.92839306e-7  8.85852086e-7
  5.22136891e-1  5.24303756e-7  9.69026820e-6  5.30271764e-7  5.24127517e-7
  5.45253866e-1  2.86082026e-7  9.72282197e-6  2.90744149e-7  2.85980922e-7
  5.69394317e-1  1.43437752e-7  9.74228862e-6  1.46736273e-7  1.43385063e-7
  5.94603558e-1  6.58377953e-8  9.75297375e-6  6.80067270e-8  6.58128907e-8
  6.20928906e-1  2.75567252e-8  9.75833717e-6  2.89200138e-8  2.75460733e-8
  6.48419777e-1  1.04748272e-8  9.76078954e-6  1.13212634e-8  1.04707163e-8
  6.77127773e-1  3.60065036e-9  9.76180681e-6  4.13743866e-9  3.59922359e-9
  7.07106781e-1  1.11428364e-9  9.76218802e-6  1.47048481e-9  1.11383994e-9
  7.38413073e-1  3.09009292e-10  9.76231650e-6  5.57980482e-10  3.08886149e-10
  7.71105413e-1  7.64186114e-11  9.76235526e-6  2.58182249e-10  7.63882445e-11
  8.05245166e-1  1.67677977e-11  9.76236568e-6  1.53490970e-10  1.67611747e-11
  8.40896415e-1  3.24714838e-12  9.76236816e-6  1.08009442e-10  3.24587714e-12
  8.78126080e-1  5.51919300e-13  9.76236869e-6  8.17358354e-11  5.51705677e-13
  9.17004043e-1  8.18630909e-14  9.76236878e-6  6.34548942e-11  8.18318363e-14
  9.57603281e-1  1.05322347e-14  9.76236880e-6  4.97345717e-11  1.05282764e-14
  1.00000000e+0  1.16798567e-15  9.76236880e-6  3.91670858e-11  1.16755437e-15
  1.04427378e+0  1.10913076e-16  9.76236880e-6  3.09442023e-11  1.10872902e-16
  1.09050773e+0  8.95722398e-18  9.76236880e-6  2.45090711e-11  8.95404652e-18
  1.13878863e+0  6.10793921e-19  9.76236880e-6  1.94522692e-11  6.10582020e-19
  1.18920712e+0  3.49054946e-20  9.76236880e-6  1.54655553e-11  3.48936670e-20
  1.24185781e+0  1.65872322e-21  9.76236880e-6  1.23140043e-11  1.65817491e-21
  1.29683955e+0  6.50111606e-23  9.76236880e-6  9.81703561e-12  6.49902191e-23
  1.35425555e+0  2.08368260e-24  9.76236880e-6  7.83491114e-12  2.08302921e-24
  1.41421356e+0  5.41298282e-26  9.76236880e-6  6.25890875e-12  5.41133202e-26
  1.47682615e+0  1.12918134e-27  9.76236880e-6  5.00405746e-12  1.12884671e-27
  1.54221083e+0  1.87324410e-29  9.76236880e-6  4.00369898e-12  1.87270513e-29
  1.61049033e+0  2.44637830e-31  9.76236880e-6  3.20537502e-12  2.44569543e-31
  1.68179283e+0  2.48857829e-33  9.76236880e-6  2.56769085e-12  2.48790484e-33
  1.75625216e+0  1.95017541e-35  9.76236880e-6  2.05790633e-12  1.94966411e-35
  1.83400809e+0  1.16378905e-37  9.76236880e-6  1.65007483e-12  1.16349362e-37
  1.91520656e+0  5.22533965e-40  9.76236880e-6  1.32359793e-12  5.22405604e-40
  2.00000000e+0  1.74310668e-42  9.76236880e-6  1.06209835e-12  1.74269256e-42
  2.08854756e+0  4.26373215e-45  9.76236880e-6  8.52537775e-13  4.26275295e-45
  2.18101547e+0  7.54304605e-48  9.76236880e-6  6.84523968e-13  7.54137230e-48
  2.27757727e+0  9.51403573e-51  9.76236880e-6  5.49765311e-13  9.51199694e-51
  2.37841423e+0  8.42826988e-54  9.76236880e-6  4.41640166e-13  8.42652637e-54
  2.48371562e+0  5.16266761e-57  9.76236880e-6  3.54856266e-13  5.16163706e-57
  2.59367911e+0  2.15118435e-60  9.76236880e-6  2.85180782e-13  2.15077015e-60
  2.70851109e+0  5.99432656e-64  9.76236880e-6  2.29226072e-13  5.99321365e-64
  2.82842712e+0  1.09730167e-67  9.76236880e-6  1.84279351e-13  1.09710529e-67
  2.95365229e+0  1.29525596e-71  9.76236880e-6  1.48167135e-13  1.29503259e-71
  3.08442165e+0  9.66924220e-76  9.76236880e-6  1.19147223e-13  9.66763590e-76
  3.22098066e+0  4.47328325e-80  9.76236880e-6  9.58225315e-14  4.47256759e-80
  3.36358566e+0  1.25561721e-84  9.76236880e-6  7.70723092e-14  1.25542380e-84
  3.51250432e+0  2.09159441e-89  9.76236880e-6  6.19971789e-14  2.09128430e-89
  3.66801617e+0  2.02047800e-94  9.76236880e-6  4.98751824e-14  2.02018974e-94
  3.83041312e+0  1.10486729e-99  9.76236880e-6  4.01266245e-14  1.10471564e-99
  4.00000000e+0  3.33506636e-105  9.76236880e-6  3.22859222e-14  3.33462603e-105
  4.17709513e+0  5.41267371e-111  9.76236880e-6  2.59790558e-14  5.41198646e-111
  4.36203093e+0  4.59516396e-117  9.76236880e-6  2.09054994e-14  4.59460298e-117
  4.55515454e+0  1.98295348e-123  9.76236880e-6  1.68237345e-14  1.98272076e-123
  4.75682846e+0  4.22119400e-130  9.76236880e-6  1.35396303e-14  4.22071787e-130
  4.96743125e+0  4.29617782e-137  9.76236880e-6  1.08971218e-14  4.29571214e-137
  5.18735822e+0  2.02332038e-144  9.76236880e-6  8.77072781e-15  2.02310965e-144
  5.41702219e+0  4.26153116e-152  9.76236880e-6  7.05954446e-15  4.26110479e-152
  5.65685425e+0  3.87357906e-160  9.76236880e-6  5.68242180e-15  3.87320680e-160
