# listNFWModel[0.0884, 0.34654, 1, 0.00375, "halo_c039_a0884_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  1.32251518e-3  6.48863357e+1  9.52421618e-7  2.04386019e+1  2.03585950e+1
  1.38106793e-3  6.20543484e+1  1.03771895e-6  2.03285346e+1  2.02487351e+1
  1.44221303e-3  5.93425900e+1  1.13061240e-6  2.02103605e+1  2.01307852e+1
  1.50606526e-3  5.67459697e+1  1.23177256e-6  2.00836524e+1  2.00043051e+1
  1.57274446e-3  5.42596132e+1  1.34192843e-6  1.99479282e+1  1.98688556e+1
  1.64237581e-3  5.18788528e+1  1.46187238e-6  1.98027945e+1  1.97240029e+1
  1.71509000e-3  4.95992191e+1  1.59246554e-6  1.96478133e+1  1.95693239e+1
  1.79102352e-3  4.74164324e+1  1.73464364e-6  1.94825734e+1  1.94044114e+1
  1.87031891e-3  4.53263948e+1  1.88942329e-6  1.93066963e+1  1.92288810e+1
  1.95312500e-3  4.33251824e+1  2.05790884e-6  1.91198179e+1  1.90423770e+1
  2.03959723e-3  4.14090381e+1  2.24129968e-6  1.89216180e+1  1.88445802e+1
  2.12989792e-3  3.95743641e+1  2.44089823e-6  1.87118215e+1  1.86352146e+1
  2.22419655e-3  3.78177158e+1  2.65811856e-6  1.84902105e+1  1.84140555e+1
  2.32267015e-3  3.61357946e+1  2.89449559e-6  1.82565922e+1  1.81809362e+1
  2.42550354e-3  3.45254425e+1  3.15169516e-6  1.80108932e+1  1.79357560e+1
  2.53288976e-3  3.29836355e+1  3.43152477e-6  1.77530678e+1  1.76784864e+1
  2.64503037e-3  3.15074781e+1  3.73594521e-6  1.74831683e+1  1.74091773e+1
  2.76213586e-3  3.00941980e+1  4.06708313e-6  1.72013287e+1  1.71279625e+1
  2.88442607e-3  2.87411410e+1  4.42724442e-6  1.69077672e+1  1.68350632e+1
  3.01213052e-3  2.74457654e+1  4.81892882e-6  1.66027953e+1  1.65307911e+1
  3.14548893e-3  2.62056380e+1  5.24484542e-6  1.62868158e+1  1.62155494e+1
  3.28475162e-3  2.50184289e+1  5.70792949e-6  1.59603214e+1  1.58898325e+1
  3.43018000e-3  2.38819076e+1  6.21136043e-6  1.56238959e+1  1.55542234e+1
  3.58204704e-3  2.27939383e+1  6.75858109e-6  1.52782064e+1  1.52093899e+1
  3.74063782e-3  2.17524764e+1  7.35331847e-6  1.49239998e+1  1.48560791e+1
  3.90625000e-3  2.07555643e+1  7.99960591e-6  1.45620958e+1  1.44951095e+1
  4.07919446e-3  1.98013276e+1  8.70180684e-6  1.41933728e+1  1.41273623e+1
  4.25979583e-3  1.88879721e+1  9.46464020e-6  1.38187687e+1  1.37537715e+1
  4.44839310e-3  1.80137799e+1  1.02932075e-5  1.34392592e+1  1.33753128e+1
  4.64534029e-3  1.71771063e+1  1.11930221e-5  1.30558512e+1  1.29929916e+1
  4.85100708e-3  1.63763769e+1  1.21700395e-5  1.26695653e+1  1.26078309e+1
  5.06577951e-3  1.56100843e+1  1.32306912e-5  1.22814351e+1  1.22208596e+1
  5.29006073e-3  1.48767853e+1  1.43819190e-5  1.18924838e+1  1.18331003e+1
  5.52427173e-3  1.41750986e+1  1.56312125e-5  1.15037178e+1  1.14455583e+1
  5.76885213e-3  1.35037017e+1  1.69866489e-5  1.11161190e+1  1.10592111e+1
  6.02426104e-3  1.28613283e+1  1.84569348e-5  1.07306276e+1  1.06749991e+1
  6.29097786e-3  1.22467664e+1  2.00514508e-5  1.03481419e+1  1.02938174e+1
  6.56950324e-3  1.16588558e+1  2.17802983e-5  9.96950657e+0  9.91650915e+0
  6.86036000e-3  1.10964856e+1  2.36543494e-5  9.59551011e+0  9.54385975e+0
  7.16409409e-3  1.05585923e+1  2.56852994e-5  9.22687901e+0  9.17659300e+0
  7.48127563e-3  1.00441579e+1  2.78857213e-5  8.86427459e+0  8.81536817e+0
  7.81250000e-3  9.55220789e+0  3.02691247e-5  8.50829275e+0  8.46077835e+0
  8.15838893e-3  9.08180908e+0  3.28500156e-5  8.15946278e+0  8.11335009e+0
  8.51959166e-3  8.63206822e+0  3.56439607e-5  7.81824787e+0  7.77354387e+0
  8.89678621e-3  8.20213002e+0  3.86676534e-5  7.48504828e+0  7.44175557e+0
  9.29068059e-3  7.79117565e+0  4.19389834e-5  7.16019557e+0  7.11831867e+0
  9.70201416e-3  7.39842104e+0  4.54771085e-5  6.84397060e+0  6.80350692e+0
  1.01315590e-2  7.02311544e+0  4.93025289e-5  6.53659190e+0  6.49753767e+0
  1.05801215e-2  6.66453997e+0  5.34371654e-5  6.23822640e+0  6.20057538e+0
  1.10485435e-2  6.32200614e+0  5.79044379e-5  5.94899161e+0  5.91273544e+0
  1.15377043e-2  5.99485461e+0  6.27293480e-5  5.66896059e+0  5.63408807e+0
  1.20485221e-2  5.68245382e+0  6.79385626e-5  5.39816464e+0  5.36466229e+0
  1.25819557e-2  5.38419881e+0  7.35604995e-5  5.13659748e+0  5.10444987e+0
  1.31390065e-2  5.09951001e+0  7.96254145e-5  4.88421989e+0  4.85340912e+0
  1.37207200e-2  4.82783209e+0  8.61654893e-5  4.64096165e+0  4.61146861e+0
  1.43281882e-2  4.56863289e+0  9.32149203e-5  4.40672784e+0  4.37853068e+0
  1.49625513e-2  4.32140234e+0  1.00810007e-4  4.18139907e+0  4.15447475e+0
  1.56250000e-2  4.08565151e+0  1.08989242e-4  3.96483707e+0  3.93916040e+0
  1.63167779e-2  3.86091156e+0  1.17793396e-4  3.75688564e+0  3.73243027e+0
  1.70391833e-2  3.64673288e+0  1.27265605e-4  3.55737452e+0  3.53411265e+0
  1.77935724e-2  3.44268417e+0  1.37451456e-4  3.36612136e+0  3.34402388e+0
  1.85813612e-2  3.24835160e+0  1.48399061e-4  3.18293388e+0  3.16197056e+0
  1.94040283e-2  3.06333799e+0  1.60159141e-4  3.00761174e+0  2.98775146e+0
  2.02631180e-2  2.88726200e+0  1.72785092e-4  2.83994900e+0  2.82115929e+0
  2.11602429e-2  2.71975744e+0  1.86333054e-4  2.67973406e+0  2.66198226e+0
  2.20970869e-2  2.56047249e+0  2.00861967e-4  2.52675336e+0  2.51000543e+0
  2.30754085e-2  2.40906907e+0  2.16433625e-4  2.38078944e+0  2.36501194e+0
  2.40970441e-2  2.26522214e+0  2.33112716e-4  2.24162408e+0  2.22678401e+0
  2.51639114e-2  2.12861914e+0  2.50966852e-4  2.10904501e+0  2.09510394e+0
  2.62780130e-2  1.99895931e+0  2.70066595e-4  1.98283003e+0  1.96975481e+0
  2.74414400e-2  1.87595321e+0  2.90485462e-4  1.86276597e+0  1.85052118e+0
  2.86563764e-2  1.75932215e+0  3.12299919e-4  1.74863855e+0  1.73718970e+0
  2.99251025e-2  1.64879769e+0  3.35589364e-4  1.64023762e+0  1.62954954e+0
  3.12500000e-2  1.54412114e+0  3.60436088e-4  1.53735469e+0  1.52739280e+0
  3.26335557e-2  1.44504315e+0  3.86925227e-4  1.43978508e+0  1.43051488e+0
  3.40783666e-2  1.35132326e+0  4.15144691e-4  1.34732714e+0  1.33871472e+0
  3.55871448e-2  1.26272951e+0  4.45185074e-4  1.25978290e+0  1.25179502e+0
  3.71627223e-2  1.17903807e+0  4.77139547e-4  1.17695869e+0  1.16956246e+0
  3.88080566e-2  1.10003287e+0  5.11103735e-4  1.09866459e+0  1.09182780e+0
  4.05262361e-2  1.02550532e+0  5.47175563e-4  1.02471472e+0  1.01840600e+0
  4.23204858e-2  9.55253953e-1  5.85455093e-4  9.54927495e-1  9.49116308e-1
  4.41941738e-2  8.89084200e-1  6.26044333e-4  8.89125956e-1  8.83782322e-1
  4.61508171e-2  8.26808099e-1  6.69047028e-4  8.27136844e-1  8.22232033e-1
  4.81940883e-2  7.68244073e-1  7.14568431e-4  7.68791810e-1  7.64297852e-1
  5.03278229e-2  7.13216710e-1  7.62715052e-4  7.13926613e-1  7.09816629e-1
  5.25560260e-2  6.61556564e-1  8.13594391e-4  6.62381602e-1  6.58629662e-1
  5.48828800e-2  6.13099973e-1  8.67314651e-4  6.14001393e-1  6.10582701e-1
  5.73127527e-2  5.67688899e-1  9.23984433e-4  5.68635175e-1  5.65525941e-1
  5.98502050e-2  5.25170771e-1  9.83712421e-4  5.26136527e-1  5.23314016e-1
  6.25000000e-2  4.85398353e-1  1.04660705e-3  4.86363271e-1  4.83805987e-1
  6.52671114e-2  4.48229615e-1  1.11277615e-3  4.49177900e-1  4.46865326e-1
  6.81567333e-2  4.13527625e-1  1.18232662e-3  4.14447223e-1  4.12359904e-1
  7.11742897e-2  3.81160435e-1  1.25536402e-3  3.82042347e-1  3.80161967e-1
  7.43254447e-2  3.51000993e-1  1.33199228e-3  3.51838757e-1  3.50148114e-1
  7.76161133e-2  3.22927046e-1  1.41231324e-3  3.23716388e-1  3.22199279e-1
  8.10524722e-2  2.96821059e-1  1.49642636e-3  2.97559434e-1  2.96200696e-1
  8.46409717e-2  2.72570132e-1  1.58442832e-3  2.73256423e-1  2.72041877e-1
  8.83883476e-2  2.50065919e-1  1.67641265e-3  2.50700097e-1  2.49616573e-1
  9.23016341e-2  2.29204556e-1  1.77246943e-3  2.29787490e-1  2.28822739e-1
  9.63881766e-2  2.09886580e-1  1.87268489e-3  2.10419828e-1  2.09562492e-1
  1.00655646e-1  1.92016855e-1  1.97714115e-3  1.92502459e-1  1.91742064e-1
  1.05112052e-1  1.75504495e-1  2.08591585e-3  1.75944860e-1  1.75271754e-1
  1.09765760e-1  1.60262780e-1  2.19908192e-3  1.60660563e-1  1.60065867e-1
  1.14625505e-1  1.46209075e-1  2.31670728e-3  1.46567048e-1  1.46042657e-1
  1.19700410e-1  1.33264749e-1  2.43885459e-3  1.33585778e-1  1.33124254e-1
  1.25000000e-1  1.21355077e-1  2.56558109e-3  1.21642007e-1  1.21236597e-1
  1.30534223e-1  1.10409158e-1  2.69693833e-3  1.10664802e-1  1.10309351e-1
  1.36313467e-1  1.00359811e-1  2.83297209e-3  1.00586887e-1  1.00275824e-1
  1.42348579e-1  9.11434757e-2  2.97372216e-3  9.13445897e-2  9.10728776e-2
  1.48650889e-1  8.27001134e-2  3.11922234e-3  8.28777212e-2  8.26408331e-2
  1.55232227e-1  7.49730951e-2  3.26950026e-3  7.51295180e-2  7.49233710e-2
  1.62104944e-1  6.79090929e-2  3.42457743e-3  6.80465078e-2  6.78674284e-2
  1.69281943e-1  6.14579663e-2  3.58446916e-3  6.15783717e-2  6.14230915e-2
  1.76776695e-1  5.55726461e-2  3.74918463e-3  5.56778862e-2  5.55434848e-2
  1.84603268e-1  5.02090168e-2  3.91872689e-3  5.03007835e-2  5.01846579e-2
  1.92776353e-1  4.53257967e-2  4.09309296e-3  4.54056232e-2  4.53054700e-2
  2.01311291e-1  4.08844176e-2  4.27227394e-3  4.09537037e-2  4.08674725e-2
  2.10224104e-1  3.68489033e-2  4.45625509e-3  3.69089006e-2  3.68347911e-2
  2.19531520e-1  3.31857486e-2  4.64501603e-3  3.32375881e-2  3.31740072e-2
  2.29251011e-1  2.98637989e-2  4.83853087e-3  2.99084902e-2  2.98540394e-2
  2.39400820e-1  2.68541301e-2  5.03676845e-3  2.68925721e-2  2.68460256e-2
  2.50000000e-1  2.41299309e-2  5.23969246e-3  2.41629207e-2  2.41232069e-2
  2.61068446e-1  2.16663859e-2  5.44726176e-3  2.16946304e-2  2.16608125e-2
  2.72626933e-1  1.94405628e-2  5.65943056e-3  1.94646706e-2  1.94359471e-2
  2.84697159e-1  1.74313001e-2  5.87614867e-3  1.74518120e-2  1.74274809e-2
  2.97301779e-1  1.56190999e-2  6.09736178e-3  1.56364754e-2  1.56159426e-2
  3.10464453e-1  1.39860232e-2  6.32301169e-3  1.40006379e-2  1.39834152e-2
  3.24209889e-1  1.25155884e-2  6.55303663e-3  1.25276983e-2  1.25134359e-2
  3.38563887e-1  1.11926746e-2  6.78737147e-3  1.12021714e-2  1.11908994e-2
  3.53553391e-1  9.99615408e-3  7.02592117e-3  1.00009477e-2  9.99465132e-3
  3.69206536e-1  8.86934053e-3  7.26782550e-3  8.87330152e-3  8.86803683e-3
  3.85552706e-1  7.80809352e-3  7.51129987e-3  7.81194642e-3  7.80697277e-3
  4.02622583e-1  6.81778391e-3  7.75440025e-3  6.82165359e-3  6.81682943e-3
