# listNFWModel[0.25, 0.98015, 4.218905, 0.00375, "halo_c039_a25_e00375.txt", {2, -16, 6, 1/16}, 12]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  1.14625505e-1  4.32558072e+0  5.22251160e-2  4.32656852e+0  4.32181391e+0
  1.19700410e-1  4.02925051e+0  5.58786027e-2  4.03035417e+0  4.02599555e+0
  1.25000000e-1  3.75013778e+0  5.97525239e-2  3.75131618e+0  3.74732732e+0
  1.30534223e-1  3.48744963e+0  6.38567798e-2  3.48866911e+0  3.48502493e+0
  1.36313467e-1  3.24042008e+0  6.82014146e-2  3.24165343e+0  3.23832992e+0
  1.42348579e-1  3.00830916e+0  7.27965923e-2  3.00953476e+0  3.00650890e+0
  1.48650889e-1  2.79040207e+0  7.76525715e-2  2.79160304e+0  2.78885286e+0
  1.55232227e-1  2.58600842e+0  8.27796775e-2  2.58717109e+0  2.58467642e+0
  1.62104944e-1  2.39446151e+0  8.81882738e-2  2.39557648e+0  2.39331732e+0
  1.69281943e-1  2.21511775e+0  9.38887315e-2  2.21617790e+0  2.21413579e+0
  1.76776695e-1  2.04735602e+0  9.98913977e-2  2.04835655e+0  2.04651408e+0
  1.84603268e-1  1.89057718e+0  1.06206562e-1  1.89151538e+0  1.88985599e+0
  1.92776353e-1  1.74420358e+0  1.12844425e-1  1.74507801e+0  1.74358643e+0
  2.01311291e-1  1.60767863e+0  1.19815061e-1  1.60848955e+0  1.60715103e+0
  2.10224104e-1  1.48046635e+0  1.27128383e-1  1.48121450e+0  1.48001576e+0
  2.19531520e-1  1.36205104e+0  1.34794112e-1  1.36273805e+0  1.36166661e+0
  2.29251011e-1  1.25193689e+0  1.42821737e-1  1.25256534e+0  1.25160924e+0
  2.39400820e-1  1.14964764e+0  1.51220482e-1  1.15022008e+0  1.14936868e+0
  2.50000000e-1  1.05472625e+0  1.59999273e-1  1.05524577e+0  1.05448899e+0
  2.61068446e-1  9.66734580e-1  1.69166703e-1  9.67204409e-1  9.66532997e-1
  2.72626933e-1  8.85253067e-1  1.78731002e-1  8.85676525e-1  8.85081981e-1
  2.84697159e-1  8.09880396e-1  1.88700002e-1  8.10260820e-1  8.09735348e-1
  2.97301779e-1  7.40233176e-1  1.99081112e-1  7.40573897e-1  7.40110335e-1
  3.10464453e-1  6.75945598e-1  2.09881289e-1  6.76249834e-1  6.75841676e-1
  3.24209889e-1  6.16669090e-1  2.21107014e-1  6.16939989e-1  6.16581269e-1
  3.38563887e-1  5.62071958e-1  2.32764265e-1  5.62308592e-1  5.61997822e-1
  3.53553391e-1  5.11839004e-1  2.44858500e-1  5.12052012e-1  5.11776489e-1
