# listGammaModel[1, 0.02, 4., 0.03125, 0.00375, "bulge_g1_a02_b4_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  3.28475162e-3  2.41070146e+3  6.24989211e-4  1.40578032e+3  1.28567582e+3
  3.43018000e-3  2.26577620e+3  6.73121154e-4  1.36383724e+3  1.24656180e+3
  3.58204704e-3  2.12806557e+3  7.24619865e-4  1.32094235e+3  1.20660246e+3
  3.74063782e-3  1.99727556e+3  7.79681488e-4  1.27721445e+3  1.16591213e+3
  3.90625000e-3  1.87312340e+3  8.38509185e-4  1.23278182e+3  1.12461366e+3
  4.07919446e-3  1.75533707e+3  9.01312883e-4  1.18778045e+3  1.08283699e+3
  4.25979583e-3  1.64365470e+3  9.68308967e-4  1.14235442e+3  1.04071760e+3
  4.44839310e-3  1.53782415e+3  1.03971988e-3  1.09665004e+3  9.98394848e+2
  4.64534029e-3  1.43760245e+3  1.11577364e-3  1.05081861e+3  9.56010186e+2
  4.85100708e-3  1.34275540e+3  1.19670333e-3  1.00501118e+3  9.13705389e+2
  5.06577951e-3  1.25305712e+3  1.28274640e-3  9.59379045e+2  8.71620782e+2
  5.29006073e-3  1.16828963e+3  1.37414398e-3  9.14070416e+2  8.29893536e+2
  5.52427173e-3  1.08824251e+3  1.47114004e-3  8.69229271e+2  7.88656067e+2
  5.76885213e-3  1.01271249e+3  1.57398046e-3  8.24993731e+2  7.48034581e+2
  6.02426104e-3  9.41503186e+2  1.68291205e-3  7.81494619e+2  7.08147781e+2
  6.29097786e-3  8.74424708e+2  1.79818141e-3  7.38854219e+2  6.69105769e+2
  6.56950324e-3  8.11293432e+2  1.92003375e-3  6.97185238e+2  6.31009153e+2
  6.86036000e-3  7.51931714e+2  2.04871158e-3  6.56590031e+2  5.93948361e+2
  7.16409409e-3  6.96167647e+2  2.18445337e-3  6.17159902e+2  5.58003163e+2
  7.48127563e-3  6.43834843e+2  2.32749204e-3  5.78974814e+2  5.23242401e+2
  7.81250000e-3  5.94772226e+2  2.47805347e-3  5.42103111e+2  4.89723896e+2
  8.15838893e-3  5.48823856e+2  2.63635489e-3  5.06601530e+2  4.57494544e+2
  8.51959166e-3  5.05838763e+2  2.80260325e-3  4.72515335e+2  4.26590550e+2
  8.89678621e-3  4.65670800e+2  2.97699351e-3  4.39878625e+2  3.97037806e+2
  9.29068059e-3  4.28178521e+2  3.15970692e-3  4.08714774e+2  3.68852375e+2
  9.70201416e-3  3.93225062e+2  3.35090931e-3  3.79036882e+2  3.42041069e+2
  1.01315590e-2  3.60678046e+2  3.55074938e-3  3.50848521e+2  3.16602091e+2
  1.05801215e-2  3.30409499e+2  3.75935694e-3  3.24144264e+2  2.92525734e+2
  1.10485435e-2  3.02295772e+2  3.97684131e-3  2.98910525e+2  2.69795108e+2
  1.15377043e-2  2.76217483e+2  4.20328968e-3  2.75126286e+2  2.48386886e+2
  1.20485221e-2  2.52059458e+2  4.43876558e-3  2.52763809e+2  2.28272047e+2
  1.25819557e-2  2.29710684e+2  4.68330751e-3  2.31789493e+2  2.09416620e+2
  1.31390065e-2  2.09064270e+2  4.93692755e-3  2.12164618e+2  1.91782403e+2
  1.37207200e-2  1.90017402e+2  5.19961028e-3  1.93846063e+2  1.75327650e+2
  1.43281882e-2  1.72471314e+2  5.47131170e-3  1.76787099e+2  1.60007739e+2
  1.49625513e-2  1.56331248e+2  5.75195843e-3  1.60938005e+2  1.45775784e+2
  1.56250000e-2  1.41506422e+2  6.04144706e-3  1.46246782e+2  1.32583223e+2
  1.63167779e-2  1.27909990e+2  6.33964371e-3  1.32659749e+2  1.20380347e+2
  1.70391833e-2  1.15459006e+2  6.64638377e-3  1.20122100e+2  1.09116789e+2
  1.77935724e-2  1.04074374e+2  6.96147196e-3  1.08578457e+2  9.87419747e+1
  1.85813612e-2  9.36808092e+1  7.28468248e-3  9.79733225e+1  8.92055135e+1
  1.94040283e-2  8.42067738e+1  7.61575953e-3  8.82515119e+1  8.04575551e+1
  2.02631180e-2  7.55844241e+1  7.95441799e-3  7.93585619e+1  7.24490983e+1
  2.11602429e-2  6.77495412e+1  8.30034431e-3  7.12410194e+1  6.51322589e+1
  2.20970869e-2  6.06414587e+1  8.65319774e-3  6.38468165e+1  5.84604975e+1
  2.30754085e-2  5.42029822e+1  9.01261160e-3  5.71253449e+1  5.23888097e+1
  2.40970441e-2  4.83803030e+1  9.37819494e-3  5.10279370e+1  4.68738808e+1
  2.51639114e-2  4.31229047e+1  9.74953427e-3  4.55077623e+1  4.18742081e+1
  2.62780130e-2  3.83834637e+1  1.01261955e-2  4.05201202e+1  3.73501927e+1
  2.74414400e-2  3.41177443e+1  1.05077260e-2  3.60224516e+1  3.32642038e+1
  2.86563764e-2  3.02844881e+1  1.08936568e-2  3.19744539e+1  2.95806182e+1
  2.99251025e-2  2.68452994e+1  1.12835051e-2  2.83380935e+1  2.62658366e+1
  3.12500000e-2  2.37645265e+1  1.16767766e-2  2.50776251e+1  2.32882816e+1
  3.26335557e-2  2.10091397e+1  1.20729678e-2  2.21595668e+1  2.06183762e+1
  3.40783666e-2  1.85486082e+1  1.24715686e-2  1.95526879e+1  1.82285093e+1
  3.55871448e-2  1.63547740e+1  1.28720650e-2  1.72279382e+1  1.60929864e+1
  3.71627223e-2  1.44017267e+1  1.32739416e-2  1.51584029e+1  1.41879712e+1
  3.88080566e-2  1.26656772e+1  1.36766837e-2  1.33192152e+1  1.24914173e+1
  4.05262361e-2  1.11248336e+1  1.40797801e-2  1.16874792e+1  1.09829933e+1
  4.23204858e-2  9.75927733e+0  1.44827254e-2  1.02421746e+1  9.64400292e+0
  4.41941738e-2  8.55084304e+0  1.48850220e-2  8.96406052e+0  8.45730081e+0
  4.61508171e-2  7.48300031e+0  1.52861822e-2  7.83557601e+0  7.40720638e+0
  4.81940883e-2  6.54073937e+0  1.56857306e-2  6.84073923e+0  6.47941632e+0
  5.03278229e-2  5.71046050e+0  1.60832054e-2  5.96504110e+0  5.66091700e+0
  5.25560260e-2  4.97986781e+0  1.64781606e-2  5.19534655e+0  4.93989776e+0
  5.48828800e-2  4.33786753e+0  1.68701668e-2  4.51979414e+0  4.30566580e+0
  5.73127527e-2  3.77447122e+0  1.72588133e-2  3.92769909e+0  3.74856334e+0
  5.98502050e-2  3.28070398e+0  1.76437088e-2  3.40945833e+0  3.25988762e+0
  6.25000000e-2  2.84851777e+0  1.80244826e-2  2.95646390e+0  2.83181417e+0
  6.52671114e-2  2.47070988e+0  1.84007850e-2  2.56101286e+0  2.45732361e+0
  6.81567333e-2  2.14084666e+0  1.87722887e-2  2.21623080e+0  2.13013231e+0
  7.11742897e-2  1.85319231e+0  1.91386885e-2  1.91599406e+0  1.84462703e+0
  7.43254447e-2  1.60264265e+0  1.94997022e-2  1.65485909e+0  1.59580355e+0
  7.76161133e-2  1.38466390e+0  1.98550702e-2  1.42799671e+0  1.37920947e+0
  8.10524722e-2  1.19523610e+0  2.02045562e-2  1.23113072e+0  1.19089092e+0
  8.46409717e-2  1.03080108e+0  2.05479463e-2  1.06048159e+0  1.02734340e+0
  8.83883476e-2  8.88214776e-1  2.08850494e-2  9.12715067e-1  8.85466294e-1
  9.23016341e-2  7.64703677e-1  2.12156966e-2  7.84894566e-1  7.62521223e-1
  9.63881766e-2  6.57825096e-1  2.15397406e-2  6.74438186e-1  6.56093872e-1
  1.00655646e-1  5.65431125e-1  2.18570553e-2  5.79079495e-1  5.64059200e-1
  1.05112052e-1  4.85635964e-1  2.21675350e-2  4.96832199e-1  4.84549820e-1
  1.09765760e-1  4.16786422e-1  2.24710940e-2  4.25958107e-1  4.15927335e-1
  1.14625505e-1  3.57435342e-1  2.27676655e-2  3.64938356e-1  3.56756465e-1
  1.19700410e-1  3.06317715e-1  2.30572009e-2  3.12447633e-1  3.05781720e-1
  1.25000000e-1  2.62329285e-1  2.33396688e-2  2.67331095e-1  2.61906462e-1
  1.30534223e-1  2.24507407e-1  2.36150546e-2  2.28583822e-1  2.24174138e-1
  1.36313467e-1  1.92013980e-1  2.38833588e-2  1.95332381e-1  1.91751509e-1
  1.42348579e-1  1.64120254e-1  2.41445968e-2  1.66818608e-1  1.63913702e-1
  1.48650889e-1  1.40193338e-1  2.43987974e-2  1.42385182e-1  1.40030915e-1
  1.55232227e-1  1.19684241e-1  2.46460022e-2  1.21462858e-1  1.19556613e-1
  1.62104944e-1  1.02117300e-1  2.48862647e-2  1.03559201e-1  1.02017082e-1
  1.69281943e-1  8.70808382e-2  2.51196491e-2  8.82486949e-2  8.70021991e-2
  1.76776695e-1  7.42189484e-2  2.53462296e-2  7.51640126e-2  7.41572822e-2
  1.84603268e-1  6.32242535e-2  2.55660896e-2  6.39883884e-2  6.31759277e-2
  1.92776353e-1  5.38315583e-2  2.57793205e-2  5.44489931e-2  5.37937105e-2
  2.01311291e-1  4.58122838e-2  2.59860215e-2  4.63106659e-2  4.57826598e-2
  2.10224104e-1  3.89695968e-2  2.61862980e-2  3.93716568e-2  3.89464230e-2
  2.19531520e-1  3.31341550e-2  2.63802615e-2  3.34582849e-2  3.31160371e-2
  2.29251011e-1  2.81603956e-2  2.65680286e-2  2.84215321e-2  2.81462381e-2
  2.39400820e-1  2.39233022e-2  2.67497204e-2  2.41335598e-2  2.39122451e-2
  2.50000000e-1  2.03155926e-2  2.69254616e-2  2.04847857e-2  2.03069612e-2
  2.61068446e-1  1.72452755e-2  2.70953803e-2  1.73813518e-2  1.72385410e-2
  2.72626933e-1  1.46335316e-2  2.72596072e-2  1.47429171e-2  1.46282795e-2
  2.84697159e-1  1.24128769e-2  2.74182748e-2  1.25007650e-2  1.24087828e-2
  2.97301779e-1  1.05255735e-2  2.75715175e-2  1.05961570e-2  1.05223833e-2
  3.10464453e-1  8.92225561e-3  2.77194706e-2  8.97891809e-3  8.91977089e-3
  3.24209889e-1  7.56074359e-3  2.78622700e-2  7.60621353e-3  7.55880909e-3
  3.38563887e-1  6.40502049e-3  2.80000520e-2  6.44149489e-3  6.40351494e-3
  3.53553391e-1  5.42435046e-3  2.81329527e-2  5.45359918e-3  5.42317918e-3
  3.69206536e-1  4.59251981e-3  2.82611077e-2  4.61596680e-3  4.59160891e-3
  3.85552706e-1  3.88718426e-3  2.83846519e-2  3.90597513e-3  3.88647610e-3
  4.02622583e-1  3.28930818e-3  2.85037191e-2  3.30436334e-3  3.28875781e-3
  4.20448208e-1  2.78268309e-3  2.86184419e-2  2.79474248e-3  2.78225550e-3
  4.39063040e-1  2.35351478e-3  2.87289512e-2  2.36317222e-3  2.35318267e-3
  4.58502022e-1  1.99006934e-3  2.88353764e-2  1.99780185e-3  1.98981147e-3
  4.78801640e-1  1.68237012e-3  2.89378447e-2  1.68856019e-3  1.68216995e-3
  5.00000000e-1  1.42193833e-3  2.90364815e-2  1.42689284e-3  1.42178299e-3
  5.22136891e-1  1.20157126e-3  2.91314099e-2  1.20553627e-3  1.20145074e-3
  5.45253866e-1  1.01515280e-3  2.92227507e-2  1.01832552e-3  1.01505932e-3
  5.69394317e-1  8.57491521e-4  2.93106221e-2  8.60029985e-4  8.57419031e-4
  5.94603558e-1  7.24182595e-4  2.93951402e-2  7.26213411e-4  7.24126396e-4
  6.20928906e-1  6.11489975e-4  2.94764180e-2  6.13114510e-4  6.11446414e-4
  6.48419777e-1  5.16245963e-4  2.95545663e-2  5.17545441e-4  5.16212207e-4
  6.77127773e-1  4.35765669e-4  2.96296931e-2  4.36805076e-4  4.35739515e-4
  7.07106781e-1  3.67774157e-4  2.97019035e-2  3.68605499e-4  3.67753897e-4
  7.38413073e-1  3.10344453e-4  2.97713001e-2  3.11009369e-4  3.10328762e-4
  7.71105413e-1  2.61844814e-4  2.98379828e-2  2.62376607e-4  2.61832663e-4
  8.05245166e-1  2.20893889e-4  2.99020486e-2  2.21319190e-4  2.20884483e-4
  8.40896415e-1  1.86322626e-4  2.99635918e-2  1.86662791e-4  1.86315344e-4
  8.78126080e-1  1.57141899e-4  3.00227040e-2  1.57413966e-4  1.57136263e-4
  9.17004043e-1  1.32515033e-4  3.00794741e-2  1.32732641e-4  1.32510672e-4
  9.57603281e-1  1.11734482e-4  3.01339885e-2  1.11908540e-4  1.11731108e-4
  1.00000000e+0  9.42020340e-5  3.01863306e-2  9.43412593e-5  9.41994236e-5
  1.04427378e+0  7.94120358e-5  3.02365816e-2  7.95234044e-5  7.94100166e-5
  1.09050773e+0  6.69371605e-5  3.02848198e-2  6.70262531e-5  6.69355988e-5
  1.13878863e+0  5.64163507e-5  3.03311211e-2  5.64876253e-5  5.64151430e-5
  1.18920712e+0  4.75446019e-5  3.03755590e-2  4.76016263e-5  4.75436681e-5
  1.24185781e+0  4.00643093e-5  3.04182044e-2  4.01099367e-5  4.00635873e-5
  1.29683955e+0  3.37579416e-5  3.04591261e-2  3.37944528e-5  3.37573835e-5
  1.35425555e+0  2.84418392e-5  3.04983903e-2  2.84710572e-5  2.84414078e-5
  1.41421356e+0  2.39609660e-5  3.05360610e-2  2.39843503e-5  2.39606326e-5
