# listGammaModel[1, 0.00816, 1.64, 0.00521, 0.0104167, "bulge_g1_a00816_b164_e00375.txt", {2, -18, 6, 1/16}]
#             r         rho(r)        mass(r)     rho_eps(r)     rho(r_eps)
  2.66237239e-4  4.26902132e+4  5.22706765e-6  2.15870667e+2  1.01737707e+2
  2.78024569e-4  4.07092068e+4  5.68424337e-6  2.15854188e+2  1.01729645e+2
  2.90333768e-4  3.88131627e+4  6.18066576e-6  2.15836220e+2  1.01720855e+2
  3.03187942e-4  3.69985148e+4  6.71960529e-6  2.15816629e+2  1.01711270e+2
  3.16611219e-4  3.52618488e+4  7.30459184e-6  2.15795267e+2  1.01700820e+2
  3.30628796e-4  3.35998961e+4  7.93943366e-6  2.15771978e+2  1.01689426e+2
  3.45266983e-4  3.20095280e+4  8.62823730e-6  2.15746584e+2  1.01677003e+2
  3.60553258e-4  3.04877491e+4  9.37542882e-6  2.15718896e+2  1.01663458e+2
  3.76516315e-4  2.90316921e+4  1.01857762e-5  2.15688710e+2  1.01648691e+2
  3.93186116e-4  2.76386122e+4  1.10644132e-5  2.15655799e+2  1.01632592e+2
  4.10593953e-4  2.63058818e+4  1.20168638e-5  2.15619918e+2  1.01615040e+2
  4.28772500e-4  2.50309857e+4  1.30490691e-5  2.15580801e+2  1.01595905e+2
  4.47755880e-4  2.38115162e+4  1.41674143e-5  2.15538157e+2  1.01575045e+2
  4.67579727e-4  2.26451685e+4  1.53787581e-5  2.15491668e+2  1.01552305e+2
  4.88281250e-4  2.15297363e+4  1.66904624e-5  2.15440991e+2  1.01527517e+2
  5.09899308e-4  2.04631077e+4  1.81104241e-5  2.15385748e+2  1.01500496e+2
  5.32474479e-4  1.94432609e+4  1.96471078e-5  2.15325531e+2  1.01471043e+2
  5.56049138e-4  1.84682605e+4  2.13095798e-5  2.15259896e+2  1.01438941e+2
  5.80667537e-4  1.75362538e+4  2.31075431e-5  2.15188356e+2  1.01403952e+2
  6.06375885e-4  1.66454671e+4  2.50513739e-5  2.15110385e+2  1.01365818e+2
  6.33222439e-4  1.57942024e+4  2.71521582e-5  2.15025409e+2  1.01324261e+2
  6.61257591e-4  1.49808339e+4  2.94217307e-5  2.14932803e+2  1.01278973e+2
  6.90533966e-4  1.42038052e+4  3.18727126e-5  2.14831883e+2  1.01229625e+2
  7.21106517e-4  1.34616259e+4  3.45185517e-5  2.14721920e+2  1.01175856e+2
  7.53032630e-4  1.27528687e+4  3.73735610e-5  2.14602110e+2  1.01117273e+2
  7.86372232e-4  1.20761670e+4  4.04529590e-5  2.14471579e+2  1.01053452e+2
  8.21187906e-4  1.14302119e+4  4.37729086e-5  2.14329379e+2  1.00983930e+2
  8.57545000e-4  1.08137494e+4  4.73505562e-5  2.14174487e+2  1.00908205e+2
  8.95511761e-4  1.02255784e+4  5.12040688e-5  2.14005771e+2  1.00825732e+2
  9.35159454e-4  9.66454811e+3  5.53526714e-5  2.13822032e+2  1.00735922e+2
  9.76562500e-4  9.12955567e+3  5.98166808e-5  2.13621952e+2  1.00638132e+2
  1.01979862e-3  8.61954405e+3  6.46175386e-5  2.13404105e+2  1.00531669e+2
  1.06494896e-3  8.13349988e+3  6.97778405e-5  2.13166948e+2  1.00415781e+2
  1.11209828e-3  7.67045148e+3  7.53213621e-5  2.12908812e+2  1.00289655e+2
  1.16133507e-3  7.22946686e+3  8.12730817e-5  2.12627881e+2  1.00152409e+2
  1.21275177e-3  6.80965187e+3  8.76591966e-5  2.12322203e+2  1.00003093e+2
  1.26644488e-3  6.41014841e+3  9.45071358e-5  2.11989662e+2  9.98406781e+1
  1.32251518e-3  6.03013266e+3  1.01845565e-4  2.11627975e+2  9.96640569e+1
  1.38106793e-3  5.66881348e+3  1.09704385e-4  2.11234679e+2  9.94720342e+1
  1.44221303e-3  5.32543081e+3  1.18114724e-4  2.10807124e+2  9.92633233e+1
  1.50606526e-3  4.99925412e+3  1.27108917e-4  2.10342454e+2  9.90365407e+1
  1.57274446e-3  4.68958103e+3  1.36720479e-4  2.09837599e+2  9.87902005e+1
  1.64237581e-3  4.39573585e+3  1.46984069e-4  2.09289266e+2  9.85227089e+1
  1.71509000e-3  4.11706829e+3  1.57935437e-4  2.08693919e+2  9.82323596e+1
  1.79102352e-3  3.85295223e+3  1.69611368e-4  2.08047781e+2  9.79173288e+1
  1.87031891e-3  3.60278449e+3  1.82049600e-4  2.07346811e+2  9.75756708e+1
  1.95312500e-3  3.36598370e+3  1.95288743e-4  2.06586708e+2  9.72053141e+1
  2.03959723e-3  3.14198923e+3  2.09368174e-4  2.05762891e+2  9.68040590e+1
  2.12989792e-3  2.93026020e+3  2.24327919e-4  2.04870520e+2  9.63695752e+1
  2.22419655e-3  2.73027448e+3  2.40208521e-4  2.03904396e+2  9.58994015e+1
  2.32267015e-3  2.54152786e+3  2.57050894e-4  2.02859150e+2  9.53909466e+1
  2.42550354e-3  2.36353314e+3  2.74896154e-4  2.01729050e+2  9.48414922e+1
  2.53288976e-3  2.19581940e+3  2.93785447e-4  2.00508118e+2  9.42481979e+1
  2.64503037e-3  2.03793128e+3  3.13759745e-4  1.99190121e+2  9.36081094e+1
  2.76213586e-3  1.88942828e+3  3.34859641e-4  1.97768574e+2  9.29181692e+1
  2.88442607e-3  1.74988418e+3  3.57125121e-4  1.96236784e+2  9.21752316e+1
  3.01213052e-3  1.61888644e+3  3.80595329e-4  1.94587882e+2  9.13760807e+1
  3.14548893e-3  1.49603573e+3  4.05308308e-4  1.92814856e+2  9.05174545e+1
  3.28475162e-3  1.38094544e+3  4.31300747e-4  1.90910613e+2  8.95960724e+1
  3.43018000e-3  1.27324131e+3  4.58607700e-4  1.88868046e+2  8.86086694e+1
  3.58204704e-3  1.17256098e+3  4.87262311e-4  1.86680110e+2  8.75520356e+1
  3.74063782e-3  1.07855376e+3  5.17295531e-4  1.84339905e+2  8.64230620e+1
  3.90625000e-3  9.90880269e+2  5.48735824e-4  1.81840793e+2  8.52187926e+1
  4.07919446e-3  9.09212207e+2  5.81608883e-4  1.79176507e+2  8.39364834e+1
  4.25979583e-3  8.33232151e+2  6.15937347e-4  1.76341283e+2  8.25736663e+1
  4.44839310e-3  7.62633348e+2  6.51740514e-4  1.73329965e+2  8.11282203e+1
  4.64534029e-3  6.97119558e+2  6.89034078e-4  1.70138394e+2  7.95984462e+1
  4.85100708e-3  6.36404915e+2  7.27829867e-4  1.66763099e+2  7.79831459e+1
  5.06577951e-3  5.80213802e+2  7.68135598e-4  1.63201957e+2  7.62817036e+1
  5.29006073e-3  5.28280742e+2  8.09954658e-4  1.59454122e+2  7.44941677e+1
  5.52427173e-3  4.80350307e+2  8.53285899e-4  1.55520262e+2  7.26213302e+1
  5.76885213e-3  4.36177021e+2  8.98123461e-4  1.51402726e+2  7.06648014e+1
  6.02426104e-3  3.95525279e+2  9.44456623e-4  1.47105711e+2  6.86270774e+1
  6.29097786e-3  3.58169260e+2  9.92269688e-4  1.42635398e+2  6.65115953e+1
  6.56950324e-3  3.23892835e+2  1.04154190e-3  1.38000073e+2  6.43227753e+1
  6.86036000e-3  2.92489474e+2  1.09224738e-3  1.33210207e+2  6.20660433e+1
  7.16409409e-3  2.63762143e+2  1.14435514e-3  1.28278500e+2  5.97478332e+1
  7.48127563e-3  2.37523186e+2  1.19782909e-3  1.23219871e+2  5.73755650e+1
  7.81250000e-3  2.13594198e+2  1.25262810e-3  1.18051398e+2  5.49575969e+1
  8.15838893e-3  1.91805885e+2  1.30870612e-3  1.12792202e+2  5.25031505e+1
  8.51959166e-3  1.71997902e+2  1.36601231e-3  1.07463262e+2  5.00222077e+1
  8.89678621e-3  1.54018681e+2  1.42449123e-3  1.02087179e+2  4.75253831e+1
  9.29068059e-3  1.37725239e+2  1.48408304e-3  9.66878655e+1  4.50237709e+1
  9.70201416e-3  1.22982971e+2  1.54472378e-3  9.12902123e+1  4.25287729e+1
  1.01315590e-2  1.09665425e+2  1.60634562e-3  8.59196557e+1  4.00519107e+1
  1.05801215e-2  9.76540626e+1  1.66887722e-3  8.06018931e+1  3.76046292e+1
  1.10485435e-2  8.68380058e+1  1.73224402e-3  7.53621515e+1  3.51980966e+1
  1.15377043e-2  7.71137693e+1  1.79636863e-3  7.02250271e+1  3.28430092e+1
  1.20485221e-2  6.83849819e+1  1.86117123e-3  6.52138984e+1  3.05494073e+1
  1.25819557e-2  6.05620981e+1  1.92656995e-3  6.03505443e+1  2.83265082e+1
  1.31390065e-2  5.35621015e+1  1.99248126e-3  5.56547740e+1  2.61825630e+1
  1.37207200e-2  4.73082023e+1  2.05882043e-3  5.11441088e+1  2.41247411e+1
  1.43281882e-2  4.17295303e+1  2.12550192e-3  4.68335335e+1  2.21590450e+1
  1.49625513e-2  3.67608266e+1  2.19243983e-3  4.27353090e+1  2.02902589e+1
  1.56250000e-2  3.23421346e+1  2.25954827e-3  3.88588750e+1  1.85219286e+1
  1.63167779e-2  2.84184923e+1  2.32674180e-3  3.52108197e+1  1.68563745e+1
  1.70391833e-2  2.49396296e+1  2.39393581e-3  3.17949213e+1  1.52947324e+1
  1.77935724e-2  2.18596692e+1  2.46104691e-3  2.86122608e+1  1.38370201e+1
  1.85813612e-2  1.91368353e+1  2.52799327e-3  2.56613413e+1  1.24822248e+1
  1.94040283e-2  1.67331695e+1  2.59469495e-3  2.29385269e+1  1.12284077e+1
  2.02631180e-2  1.46142571e+1  2.66107426e-3  2.04379918e+1  1.00728186e+1
  2.11602429e-2  1.27489621e+1  2.72705598e-3  1.81520814e+1  9.01201824e+0
  2.20970869e-2  1.11091751e+1  2.79256766e-3  1.60717980e+1  8.04200230e+0
  2.30754085e-2  9.66957092e+0  2.85753987e-3  1.41869240e+1  7.15832330e+0
  2.40970441e-2  8.40738032e+0  2.92190635e-3  1.24863605e+1  6.35620778e+0
  2.51639114e-2  7.30217287e+0  2.98560422e-3  1.09584065e+1  5.63066532e+0
  2.62780130e-2  6.33565316e+0  3.04857411e-3  9.59101297e+0  4.97658781e+0
  2.74414400e-2  5.49146957e+0  3.11076030e-3  8.37201697e+0  4.38883756e+0
  2.86563764e-2  4.75503566e+0  3.17211078e-3  7.28934299e+0  3.86232357e+0
  2.99251025e-2  4.11336396e+0  3.23257730e-3  6.33117393e+0  3.39206573e+0
  3.12500000e-2  3.55491194e+0  3.29211544e-3  5.48609138e+0  2.97324729e+0
  3.26335557e-2  3.06943960e+0  3.35068462e-3  4.74319502e+0  2.60125616e+0
  3.40783666e-2  2.64787851e+0  3.40824804e-3  4.09216914e+0  2.27171583e+0
  3.55871448e-2  2.28221148e+0  3.46477268e-3  3.52335855e+0  1.98050705e+0
  3.71627223e-2  1.96536260e+0  3.52022925e-3  3.02779370e+0  1.72378128e+0
  3.88080566e-2  1.69109694e+0  3.57459210e-3  2.59720922e+0  1.49796713e+0
